        111 -0.302474D+01  0.812571D-02 -0.132792D-01
        112 -0.302986D+01  0.805642D-02 -0.131651D-01
        113 -0.303497D+01  0.798818D-02 -0.130531D-01
        114 -0.304006D+01  0.792096D-02 -0.129430D-01
        115 -0.304515D+01  0.785476D-02 -0.128349D-01
        116 -0.305022D+01  0.778954D-02 -0.127288D-01
        117 -0.305529D+01  0.772528D-02 -0.126245D-01
        118 -0.306034D+01  0.766198D-02 -0.125220D-01
        119 -0.306539D+01  0.759960D-02 -0.124212D-01
        120 -0.307043D+01  0.753813D-02 -0.123222D-01
        121 -0.307546D+01  0.747755D-02 -0.122249D-01
        122 -0.308048D+01  0.741785D-02 -0.121293D-01
        123 -0.308550D+01  0.735901D-02 -0.120353D-01
        124 -0.309051D+01  0.730100D-02 -0.119428D-01
        125 -0.309551D+01  0.724383D-02 -0.118519D-01
        126 -0.310053D+01  0.718785D-02 -0.117626D-01
        127 -0.310552D+01  0.713232D-02 -0.116747D-01
        128 -0.311051D+01  0.707756D-02 -0.115882D-01
        129 -0.311549D+01  0.702358D-02 -0.115032D-01
        130 -0.312047D+01  0.697035D-02 -0.114195D-01
        131 -0.312545D+01  0.691787D-02 -0.113372D-01
        132 -0.313042D+01  0.686610D-02 -0.112561D-01
        133 -0.313538D+01  0.681505D-02 -0.111764D-01
        134 -0.314035D+01  0.676470D-02 -0.110980D-01
        135 -0.314530D+01  0.671504D-02 -0.110207D-01
        136 -0.315026D+01  0.666605D-02 -0.109447D-01
        137 -0.315521D+01  0.661772D-02 -0.108699D-01
        138 -0.316016D+01  0.657004D-02 -0.107962D-01
        139 -0.316511D+01  0.652300D-02 -0.107237D-01
        140 -0.317005D+01  0.647658D-02 -0.106523D-01
        141 -0.317500D+01  0.643078D-02 -0.105819D-01
        142 -0.317994D+01  0.638558D-02 -0.105127D-01
        143 -0.318487D+01  0.634097D-02 -0.104445D-01
        144 -0.318981D+01  0.629695D-02 -0.103773D-01
        145 -0.319474D+01  0.625349D-02 -0.103111D-01
        146 -0.319969D+01  0.621089D-02 -0.102459D-01
        147 -0.320462D+01  0.616858D-02 -0.101817D-01
        148 -0.320955D+01  0.612682D-02 -0.101184D-01
        149 -0.321447D+01  0.608560D-02 -0.100560D-01
        150 -0.321940D+01  0.604490D-02 -0.999455D-02
        151 -0.322433D+01  0.600473D-02 -0.993397D-02
        152 -0.322925D+01  0.596506D-02 -0.987426D-02
        153 -0.323417D+01  0.592590D-02 -0.981540D-02
        154 -0.323909D+01  0.588723D-02 -0.975738D-02
        155 -0.324401D+01  0.584905D-02 -0.970019D-02
        156 -0.324893D+01  0.581134D-02 -0.964380D-02
        157 -0.325385D+01  0.577410D-02 -0.958820D-02
        158 -0.325877D+01  0.573732D-02 -0.953337D-02
        159 -0.326369D+01  0.570100D-02 -0.947931D-02
        160 -0.326860D+01  0.566512D-02 -0.942599D-02
        161 -0.327352D+01  0.562968D-02 -0.937341D-02
        162 -0.327843D+01  0.559467D-02 -0.932154D-02
        163 -0.328334D+01  0.556008D-02 -0.927038D-02
        164 -0.328826D+01  0.552592D-02 -0.921992D-02
        165 -0.329317D+01  0.549216D-02 -0.917013D-02
        166 -0.329809D+01  0.545890D-02 -0.912103D-02
        167 -0.330300D+01  0.542608D-02 -0.907260D-02
