generating_institute     gfz-potsdam
     generating_date     2026/07/13
        product_type     gravity_field
                body     earth
           modelname     rwi_tois_2012_plusgrs80
     max_used_degree          1800
         tide_system     tide_free
          functional     gravity_anomaly_iso
    zero_degree_term     included
                unit     mgal
          refsysname     GRS80
           112.1700     -7.0100       22.373134010078
           112.1800     -7.0100       22.337190272995
           112.1900     -7.0100       22.351311897448
           112.2000     -7.0100       22.406233821056
           112.2100     -7.0100       22.488999018317
           112.2200     -7.0100       22.583888497925
           112.2300     -7.0100       22.673632606355
           112.2400     -7.0100       22.740808730601
           112.2500     -7.0100       22.769311054061
           112.2600     -7.0100       22.745768213219
           112.2700     -7.0100       22.660785591033
           112.2800     -7.0100       22.509900692693
           112.2900     -7.0100       22.294161749580
           112.3000     -7.0100       22.020269661883
           112.3100     -7.0100       21.700259140548
           112.3200     -7.0100       21.350733425440
           112.3300     -7.0100       20.991704939097
           112.3400     -7.0100       20.645128392169
           112.3500     -7.0100       20.333240192716
           112.3600     -7.0100       20.076836094134
           112.3700     -7.0100       19.893626191492
           112.3800     -7.0100       19.796801918108
           112.3900     -7.0100       19.793933875365
           112.4000     -7.0100       19.886293399981
           112.4100     -7.0100       20.068656860552
           112.4200     -7.0100       20.329612599840
           112.4300     -7.0100       20.652349474457
           112.4400     -7.0100       21.015866534666
           112.4500     -7.0100       21.396508854214
           112.4600     -7.0100       21.769707773940
           112.4700     -7.0100       22.111787113366
           112.4800     -7.0100       22.401691630294
           112.4900     -7.0100       22.622500597304
           112.5000     -7.0100       22.762607240365
           112.5100     -7.0100       22.816472420912
           112.5200     -7.0100       22.784895994474
           112.5300     -7.0100       22.674788788666
           112.5400     -7.0100       22.498468795892
           112.5500     -7.0100       22.272543582817
           112.5600     -7.0100       22.016473905532
           112.5700     -7.0100       21.750938395083
           112.5800     -7.0100       21.496133956902
           112.5900     -7.0100       21.270150091385
           112.6000     -7.0100       21.087547524756
           112.6100     -7.0100       20.958253128025
           112.6200     -7.0100       20.886855761668
           112.6300     -7.0100       20.872353802707
           112.6400     -7.0100       20.908367588701
           112.6500     -7.0100       20.983792008361
           112.6600     -7.0100       21.083829128264
           112.6700     -7.0100       21.191310939769
           112.6800     -7.0100       21.288200397137
           112.6900     -7.0100       21.357146551167
           112.7000     -7.0100       21.382967589609
           112.7100     -7.0100       21.353943921881
           112.7200     -7.0100       21.262821180177
           112.7300     -7.0100       21.107448479209
           112.7400     -7.0100       20.891008205953
           112.7500     -7.0100       20.621827325172
           112.7600     -7.0100       20.312793848843
           112.7700     -7.0100       19.980432969973
           112.7800     -7.0100       19.643722954648
           112.7900     -7.0100       19.322749276955
           112.8000     -7.0100       19.037305380530
           112.8100     -7.0100       18.805549311959
           112.8200     -7.0100       18.642817514974
           112.8300     -7.0100       18.560681243769
           112.8400     -7.0100       18.566308912653
           112.8500     -7.0100       18.662171280028
           112.8600     -7.0100       18.846097981086
           112.8700     -7.0100       19.111665967115
           112.8800     -7.0100       19.448875144910
           112.8900     -7.0100       19.845045891345
           112.9000     -7.0100       20.285858635958
           112.9100     -7.0100       20.756448279327
           112.9200     -7.0100       21.242466143930
           112.9300     -7.0100       21.731029112082
           112.9400     -7.0100       22.211488699657
           112.9500     -7.0100       22.675970684176
           112.9600     -7.0100       23.119656859477
           112.9700     -7.0100       23.540802660577
           112.9800     -7.0100       23.940505916316
           112.9900     -7.0100       24.322261118370
           113.0000     -7.0100       24.691348903628
           112.0000     -7.0200       25.063028240364
           112.0100     -7.0200       25.026460451474
           112.0200     -7.0200       24.978126565024
           112.0300     -7.0200       24.911171592350
           112.0400     -7.0200       24.819005637550
           112.0500     -7.0200       24.696245474209
           112.0600     -7.0200       24.539561025606
           112.0700     -7.0200       24.348335446751
           112.0800     -7.0200       24.125064023843
           112.0900     -7.0200       23.875441116250
           112.1000     -7.0200       23.608113732111
           112.1100     -7.0200       23.334112383812
           112.1200     -7.0200       23.066001653779
           112.1300     -7.0200       22.816821430819
           112.1400     -7.0200       22.598912321208
           112.1500     -7.0200       22.422733071722
           112.1600     -7.0200       22.295782458451
           112.1700     -7.0200       22.221732356990
           112.1800     -7.0200       22.199862917687
           112.1900     -7.0200       22.224866150305
           112.2000     -7.0200       22.287052829482
           112.2100     -7.0200       22.372962172432
           112.2200     -7.0200       22.466337336993
           112.2300     -7.0200       22.549395705392
           112.2400     -7.0200       22.604294269026
           112.2500     -7.0200       22.614669890221
           112.2600     -7.0200       22.567123786061
           112.2700     -7.0200       22.452520387162
           112.2800     -7.0200       22.266982920554
           112.2900     -7.0200       22.012490795586
           112.3000     -7.0200       21.697015338122
           112.3100     -7.0200       21.334168031379
           112.3200     -7.0200       20.942376018090
           112.3300     -7.0200       20.543639734205
           112.3400     -7.0200       20.161963715011
           112.3500     -7.0200       19.821580679953
           112.3600     -7.0200       19.545108384129
           112.3700     -7.0200       19.351786654905
           112.3800     -7.0200       19.255937713930
           112.3900     -7.0200       19.265776565978
           112.4000     -7.0200       19.382671193333
           112.4100     -7.0200       19.600916728631
           112.4200     -7.0200       19.908046628238
           112.4300     -7.0200       20.285660557193
           112.4400     -7.0200       20.710706844429
           112.4500     -7.0200       21.157120476125
           112.4600     -7.0200       21.597688753007
           112.4700     -7.0200       22.005998352117
           112.4800     -7.0200       22.358311130062
           112.4900     -7.0200       22.635222096078
           112.5000     -7.0200       22.822971031284
           112.5100     -7.0200       22.914307695135
           112.5200     -7.0200       22.908847034841
           112.5300     -7.0200       22.812892235006
           112.5400     -7.0200       22.638746355693
           112.5500     -7.0200       22.403574152358
           112.5600     -7.0200       22.127911098244
           112.5700     -7.0200       21.833943770942
           112.5800     -7.0200       21.543702472799
           112.5900     -7.0200       21.277311977115
           112.6000     -7.0200       21.051439364680
           112.6100     -7.0200       20.878059772924
           112.6200     -7.0200       20.763633180582
           112.6300     -7.0200       20.708750521987
           112.6400     -7.0200       20.708268448968
           112.6500     -7.0200       20.751912211351
           112.6600     -7.0200       20.825288700022
           112.6700     -7.0200       20.911219718007
           112.6800     -7.0200       20.991281532403
           112.6900     -7.0200       21.047422517696
           112.7000     -7.0200       21.063527185220
           112.7100     -7.0200       21.026802148759
           112.7200     -7.0200       20.928876753671
           112.7300     -7.0200       20.766536545367
           112.7400     -7.0200       20.542039177209
           112.7500     -7.0200       20.262997027396
           112.7600     -7.0200       19.941845782985
           112.7700     -7.0200       19.594950685965
           112.7800     -7.0200       19.241429444069
           112.7900     -7.0200       18.901790912179
           112.8000     -7.0200       18.596500132927
           112.8100     -7.0200       18.344582530366
           112.8200     -7.0200       18.162373110124
           112.8300     -7.0200       18.062501317436
           112.8400     -7.0200       18.053180277844
           112.8500     -7.0200       18.137842532021
           112.8600     -7.0200       18.315135426656
           112.8700     -7.0200       18.579260491869
           112.8800     -7.0200       18.920614770711
           112.8900     -7.0200       19.326670217788
           112.9000     -7.0200       19.783011543017
           112.9100     -7.0200       20.274444261181
           112.9200     -7.0200       20.786083601402
           112.9300     -7.0200       21.304341077334
           112.9400     -7.0200       21.817738073552
           112.9500     -7.0200       22.317493429358
           112.9600     -7.0200       22.797853005038
           112.9700     -7.0200       23.256151707217
           112.9800     -7.0200       23.692620510442
           112.9900     -7.0200       24.109970856910
           113.0000     -7.0200       24.512804937564
           112.0000     -7.0300       24.245781386942
           112.0100     -7.0300       24.237064460580
           112.0200     -7.0300       24.222425826707
           112.0300     -7.0300       24.194085896322
           112.0400     -7.0300       24.144411008524
           112.0500     -7.0300       24.066910351707
           112.0600     -7.0300       23.957139287288
           112.0700     -7.0300       23.813413199695
           112.0800     -7.0300       23.637252879928
           112.0900     -7.0300       23.433507202549
           112.1000     -7.0300       23.210129271115
           112.1100     -7.0300       22.977615520087
           112.1200     -7.0300       22.748150395794
           112.1300     -7.0300       22.534529087794
