generating_institute     gfz-potsdam
     generating_date     2026/07/13
        product_type     gravity_field
                body     earth
           modelname     req_topo_2015_plusgrs80
     max_used_degree          2190
         tide_system     tide_free
          functional     gravity_anomaly_csb
    zero_degree_term     included
                unit     mgal
          refsysname     GRS80
           112.1700     -7.0100      181.061605252743
           112.1800     -7.0100      181.096127594550
           112.1900     -7.0100      181.145433177000
           112.2000     -7.0100      181.224338759132
           112.2100     -7.0100      181.345493445467
           112.2200     -7.0100      181.516551028548
           112.2300     -7.0100      181.737837069084
           112.2400     -7.0100      182.000948726240
           112.2500     -7.0100      182.288609576882
           112.2600     -7.0100      182.575928432315
           112.2700     -7.0100      182.833003954782
           112.2800     -7.0100      183.028605307559
           112.2900     -7.0100      183.134474728127
           112.3000     -7.0100      183.129669765078
           112.3100     -7.0100      183.004312962945
           112.3200     -7.0100      182.762156546802
           112.3300     -7.0100      182.421498125094
           112.3400     -7.0100      182.014186665511
           112.3500     -7.0100      181.582710669801
           112.3600     -7.0100      181.175629025051
           112.3700     -7.0100      180.841852138817
           112.3800     -7.0100      180.624470779150
           112.3900     -7.0100      180.554933184464
           112.4000     -7.0100      180.648369049447
           112.4100     -7.0100      180.900747409153
           112.4200     -7.0100      181.288344757924
           112.4300     -7.0100      181.769714593479
           112.4400     -7.0100      182.290025803429
           112.4500     -7.0100      182.787317369840
           112.4600     -7.0100      183.199944218259
           112.4700     -7.0100      183.474302215497
           112.4800     -7.0100      183.571847515175
           112.4900     -7.0100      183.474480349177
           112.5000     -7.0100      183.187542870006
           112.5100     -7.0100      182.739964824179
           112.5200     -7.0100      182.181445133956
           112.5300     -7.0100      181.576937003041
           112.5400     -7.0100      180.999059500456
           112.5500     -7.0100      180.519342241464
           112.5600     -7.0100      180.199382671780
           112.5700     -7.0100      180.083032256465
           112.5800     -7.0100      180.190620723310
           112.5900     -7.0100      180.515987422869
           112.6000     -7.0100      181.026744618081
           112.6100     -7.0100      181.667792149012
           112.6200     -7.0100      182.367688279394
           112.6300     -7.0100      183.047111541760
           112.6400     -7.0100      183.628371940944
           112.6500     -7.0100      184.044784253019
           112.6600     -7.0100      184.248721993542
           112.6700     -7.0100      184.217328932242
           112.6800     -7.0100      183.955156817685
           112.6900     -7.0100      183.493386554723
           112.7000     -7.0100      182.885725708913
           112.7100     -7.0100      182.201501544043
           112.7200     -7.0100      181.516830244752
           112.7300     -7.0100      180.904992055091
           112.7400     -7.0100      180.427245723293
           112.7500     -7.0100      180.125259718159
           112.7600     -7.0100      180.016128876126
           112.7700     -7.0100      180.090610249744
           112.7800     -7.0100      180.314794409256
           112.7900     -7.0100      180.634982734960
           112.8000     -7.0100      180.985125596837
           112.8100     -7.0100      181.295845164067
           112.8200     -7.0100      181.503863280423
           112.8300     -7.0100      181.560605936655
           112.8400     -7.0100      181.438867583397
           112.8500     -7.0100      181.136675899242
           112.8600     -7.0100      180.677866502835
           112.8700     -7.0100      180.109308654944
           112.8800     -7.0100      179.495160236324
           112.8900     -7.0100      178.908915603472
           112.9000     -7.0100      178.424292753589
           112.9100     -7.0100      178.106149756724
           112.9200     -7.0100      178.002606430103
           112.9300     -7.0100      178.139378509291
           112.9400     -7.0100      178.517031426250
           112.9500     -7.0100      179.111469908642
           112.9600     -7.0100      179.877550503733
           112.9700     -7.0100      180.755294135333
           112.9800     -7.0100      181.677839360536
           112.9900     -7.0100      182.580058373842
           113.0000     -7.0100      183.406685227551
           112.0000     -7.0200      179.870135412605
           112.0100     -7.0200      180.001480429921
           112.0200     -7.0200      180.066604245712
           112.0300     -7.0200      180.073276367991
           112.0400     -7.0200      180.036703283410
           112.0500     -7.0200      179.976913177228
           112.0600     -7.0200      179.915587006167
           112.0700     -7.0200      179.872822376358
           112.0800     -7.0200      179.864314937408
           112.0900     -7.0200      179.899367486072
           112.1000     -7.0200      179.980001379695
           112.1100     -7.0200      180.101268986119
           112.1200     -7.0200      180.252676560481
           112.1300     -7.0200      180.420453005710
           112.1400     -7.0200      180.590268060939
           112.1500     -7.0200      180.749933951375
           112.1600     -7.0200      180.891628473778
           112.1700     -7.0200      181.013254860402
           112.1800     -7.0200      181.118693353982
           112.1900     -7.0200      181.216880389727
           112.2000     -7.0200      181.319846128258
           112.2100     -7.0200      181.440019711284
           112.2200     -7.0200      181.587245777157
