time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],duEW[unit=""],duNS[unit=""],duV[unit=""]
2024-01-01T00:00:00Z,-7.609444,112.595556,0.0008622247842140496,-0.0007593664340674877,-0.00010919974010903388
2024-01-01T03:00:00Z,-7.609444,112.595556,0.0008899954846128821,-0.000802691385615617,-0.00011732036364264786
2024-01-01T06:00:00Z,-7.609444,112.595556,0.0008612207602709532,-0.000831536715850234,-8.767978215473704e-06
2024-01-01T09:00:00Z,-7.609444,112.595556,0.0008642009343020618,-0.0008524475269950926,0.0001462943764636293
2024-01-01T12:00:00Z,-7.609444,112.595556,0.0008871215977706015,-0.0008651991956867278,0.0002646785869728774
2024-01-01T15:00:00Z,-7.609444,112.595556,0.0008373464224860072,-0.0008727554231882095,0.00024594212300144136
2024-01-01T18:00:00Z,-7.609444,112.595556,0.000852297933306545,-0.0009709097212180496,0.000366921623935923
2024-01-01T21:00:00Z,-7.609444,112.595556,0.000928534718696028,-0.0010154353221878,0.0004947916604578495
2024-01-02T00:00:00Z,-7.609444,112.595556,0.0009152076672762632,-0.0009602115023881196,0.0005752601427957416
2024-01-02T03:00:00Z,-7.609444,112.595556,0.0009699713555164636,-0.0008395148324780166,0.0005307381507009268
2024-01-02T06:00:00Z,-7.609444,112.595556,0.00094956427346915,-0.0007748299976810813,0.0005241733160801232
2024-01-02T09:00:00Z,-7.609444,112.595556,0.0009403092553839087,-0.0007216292433440685,0.0005899881944060326
2024-01-02T12:00:00Z,-7.609444,112.595556,0.0009095084969885648,-0.0006657654303126037,0.0005189146031625569
2024-01-02T15:00:00Z,-7.609444,112.595556,0.0007987312856130302,-0.0005537003744393587,0.000362562743248418
2024-01-02T18:00:00Z,-7.609444,112.595556,0.0006897858111187816,-0.000410129054216668,0.00028936643502675
2024-01-02T21:00:00Z,-7.609444,112.595556,0.0006237548077479005,-0.0002726268721744418,0.00020643095194827765
2024-01-03T00:00:00Z,-7.609444,112.595556,0.0005158862913958728,-0.00011400601943023504,0.00016022416821215302
2024-01-03T03:00:00Z,-7.609444,112.595556,0.0004449061816558242,3.1960448723111767e-06,8.886843716027215e-06
2024-01-03T06:00:00Z,-7.609444,112.595556,0.00038182330899871886,2.866720933525357e-05,5.14894891239237e-05
2024-01-03T09:00:00Z,-7.609444,112.595556,0.0003481969179119915,6.092618787079118e-05,6.089927046559751e-05
2024-01-03T12:00:00Z,-7.609444,112.595556,0.00030667928513139486,0.0001359132002107799,6.061899694032036e-05
2024-01-03T15:00:00Z,-7.609444,112.595556,0.0003256687487009913,0.00024703677627258003,2.166255217161961e-05
2024-01-03T18:00:00Z,-7.609444,112.595556,0.0003567186067812145,0.00021484987519215792,-4.974612693331437e-06
2024-01-03T21:00:00Z,-7.609444,112.595556,0.0004378514422569424,0.0001699798012850806,-9.636787581257522e-05
2024-01-04T00:00:00Z,-7.609444,112.595556,0.0004595632490236312,7.445295341312885e-05,-0.0002251421246910468
2024-01-04T03:00:00Z,-7.609444,112.595556,0.0004542311071418226,1.7194897736771964e-05,-0.00035330341779626906
2024-01-04T06:00:00Z,-7.609444,112.595556,0.0004043185035698116,1.511511618446093e-05,-0.0004164263664279133
2024-01-04T09:00:00Z,-7.609444,112.595556,0.0003648277197498828,5.138072447152808e-05,-0.0005263402126729488
2024-01-04T12:00:00Z,-7.609444,112.595556,0.0003344666911289096,6.512560503324494e-05,-0.0005659391172230244
2024-01-04T15:00:00Z,-7.609444,112.595556,0.0002930716145783663,7.216412632260472e-05,-0.0005909678293392062
2024-01-04T18:00:00Z,-7.609444,112.595556,0.000248952565016225,-1.5371428162325174e-05,-0.0005250448011793196
2024-01-04T21:00:00Z,-7.609444,112.595556,0.00034550551208667457,-0.00018245680257678032,-0.0006088304216973484
2024-01-05T00:00:00Z,-7.609444,112.595556,0.00041391621925868094,-0.0003273090987931937,-0.0005658054142259061
2024-01-05T03:00:00Z,-7.609444,112.595556,0.0004591671458911151,-0.0003035413392353803,-0.0005890344618819654
2024-01-05T06:00:00Z,-7.609444,112.595556,0.0003967210650444031,-0.0003336724766995758,-0.0007623276324011385
2024-01-05T09:00:00Z,-7.609444,112.595556,0.00035795438452623785,-0.0003789325710386038,-0.0009700830560177564
2024-01-05T12:00:00Z,-7.609444,112.595556,0.0004030934942420572,-0.00048101370339281857,-0.0009633104200474918
2024-01-05T15:00:00Z,-7.609444,112.595556,0.000441262120148167,-0.0005493460921570659,-0.0008495734073221684
2024-01-05T18:00:00Z,-7.609444,112.595556,0.0004111854359507561,-0.0005843400140292943,-0.0008654950652271509
2024-01-05T21:00:00Z,-7.609444,112.595556,0.0004769664665218442,-0.000659898912999779,-0.0008605470648035407
2024-01-06T00:00:00Z,-7.609444,112.595556,0.0005750861018896103,-0.0006876972620375454,-0.0007224500295706093
2024-01-06T03:00:00Z,-7.609444,112.595556,0.0007522986852563918,-0.0006691037560813129,-0.0006245372933335602
2024-01-06T06:00:00Z,-7.609444,112.595556,0.0008484977297484875,-0.0006832449580542743,-0.0005206415080465376
2024-01-06T09:00:00Z,-7.609444,112.595556,0.0009726050193421544,-0.0006896894774399698,-0.0005988237098790705
2024-01-06T12:00:00Z,-7.609444,112.595556,0.0011447927681729,-0.0007306936895474792,-0.000684716971591115
2024-01-06T15:00:00Z,-7.609444,112.595556,0.001244637183845,-0.0006914636469446123,-0.0007452231948263943
2024-01-06T18:00:00Z,-7.609444,112.595556,0.0012246075784787,-0.0005312387947924435,-0.0008403927786275744
2024-01-06T21:00:00Z,-7.609444,112.595556,0.0011745156953111,-0.0004193289205431938,-0.0009985914221033454
2024-01-07T00:00:00Z,-7.609444,112.595556,0.0011708432575687,-0.0003827959590125829,-0.0009893419919535518
2024-01-07T03:00:00Z,-7.609444,112.595556,0.0012334354687482,-0.00039546171319670975,-0.000986740575172007
2024-01-07T06:00:00Z,-7.609444,112.595556,0.0011908956803381,-0.00034856534330174327,-0.0009286136482842268
2024-01-07T09:00:00Z,-7.609444,112.595556,0.0011327968677505,-0.0002558280539233237,-0.0007929748389869928
2024-01-07T12:00:00Z,-7.609444,112.595556,0.0011065964354202,-0.00020011082233395427,-0.0007456112653017044
2024-01-07T15:00:00Z,-7.609444,112.595556,0.001170523581095,-9.72692942013964e-05,-0.0006260435911826789
2024-01-07T18:00:00Z,-7.609444,112.595556,0.0011691349791362,9.458552085561678e-06,-0.0005494703655131161
2024-01-07T21:00:00Z,-7.609444,112.595556,0.0011334746377542,1.3275843230076134e-05,-0.0005056080408394337
2024-01-08T00:00:00Z,-7.609444,112.595556,0.0011089950567111,-1.678382068348583e-05,-0.0005821874365210533
2024-01-08T03:00:00Z,-7.609444,112.595556,0.0011467488948255,-4.5584973122458905e-05,-0.0006254800828173757
2024-01-08T06:00:00Z,-7.609444,112.595556,0.0010926672257483,1.2836236237490084e-05,-0.0005502725834958255
2024-01-08T09:00:00Z,-7.609444,112.595556,0.0009961978066712618,5.985621100990102e-05,-0.0005304065416567028
2024-01-08T12:00:00Z,-7.609444,112.595556,0.0009272379102185369,4.613516284734942e-05,-0.00039928549085743725
2024-01-08T15:00:00Z,-7.609444,112.595556,0.0009592342539690436,7.180318789323792e-05,-0.0002041901316260919
2024-01-08T18:00:00Z,-7.609444,112.595556,0.0009025585604831576,0.0001561278768349439,-7.274590461747721e-05
2024-01-08T21:00:00Z,-7.609444,112.595556,0.0008880359819158912,0.00022504250227939335,-4.183493444998021e-07
2024-01-09T00:00:00Z,-7.609444,112.595556,0.0009186146198771894,0.00034225237322971225,6.408954504877329e-05
2024-01-09T03:00:00Z,-7.609444,112.595556,0.000979942036792636,0.0005578657146543264,0.0001533689210191369
2024-01-09T06:00:00Z,-7.609444,112.595556,0.0009919313015416265,0.000742012111004442,0.00016146170673891902
2024-01-09T09:00:00Z,-7.609444,112.595556,0.0009970980463549497,0.0008363298838958144,-3.4557280741864815e-05
2024-01-09T12:00:00Z,-7.609444,112.595556,0.0010424605570733,0.0009122639312408864,-0.0001299909345107153
2024-01-09T15:00:00Z,-7.609444,112.595556,0.0011262027546763,0.0009553050622344016,-0.0001912873995024711
2024-01-09T18:00:00Z,-7.609444,112.595556,0.001089702011086,0.0010681755375117,-0.000319380167638883
2024-01-09T21:00:00Z,-7.609444,112.595556,0.001037536887452,0.0011086410377174,-0.0004674344090744853
2024-01-10T00:00:00Z,-7.609444,112.595556,0.0009882395388558507,0.0011292765848338,-0.0004166381258983165
2024-01-10T03:00:00Z,-7.609444,112.595556,0.0009414447704330088,0.0011504066642373,-0.0004334590630605817
2024-01-10T06:00:00Z,-7.609444,112.595556,0.0008267777157016098,0.0012231484288349,-0.0003871526860166341
2024-01-10T09:00:00Z,-7.609444,112.595556,0.0007213320932351053,0.0012118669692426,-0.0004260156711097807
2024-01-10T12:00:00Z,-7.609444,112.595556,0.000669027678668499,0.0011761700734496,-0.0003893185930792242
2024-01-10T15:00:00Z,-7.609444,112.595556,0.0006454010144807398,0.0011822066735476,-0.0003646144177764654
2024-01-10T18:00:00Z,-7.609444,112.595556,0.0005500618135556579,0.0011864795815199,-0.0002550212957430631
2024-01-10T21:00:00Z,-7.609444,112.595556,0.0004401142941787839,0.00113581714686,-0.00033104917383752763
2024-01-11T00:00:00Z,-7.609444,112.595556,0.0003925589262507856,0.0010566274868324,-0.0003309883177280426
2024-01-11T03:00:00Z,-7.609444,112.595556,0.00038454984314739693,0.0009684926480986178,-0.0002424118429189548
2024-01-11T06:00:00Z,-7.609444,112.595556,0.0003107847587671131,0.0009048320353031158,-0.0001243117731064558
2024-01-11T09:00:00Z,-7.609444,112.595556,0.0001989053416764364,0.0007998026558198035,-6.820853741373867e-05
2024-01-11T12:00:00Z,-7.609444,112.595556,0.00012001529830740763,0.0007177376537583768,-9.39122310228413e-06
2024-01-11T15:00:00Z,-7.609444,112.595556,0.00010770779044833034,0.0006439175340346992,0.00021161368931643665
2024-01-11T18:00:00Z,-7.609444,112.595556,0.00010112796007888392,0.0005992740043438971,0.0003977325977757573
2024-01-11T21:00:00Z,-7.609444,112.595556,0.0001625672448426485,0.0004228539182804525,0.0005404542898759246
2024-01-12T00:00:00Z,-7.609444,112.595556,0.00018583085329737517,0.00024694844614714384,0.0006530631799250841
2024-01-12T03:00:00Z,-7.609444,112.595556,0.000243423884967342,8.746083767618984e-05,0.0006710097077302635
2024-01-12T06:00:00Z,-7.609444,112.595556,0.00021721451776102185,2.530303936509881e-05,0.0006875157123431563
2024-01-12T09:00:00Z,-7.609444,112.595556,0.00016922310169320554,-2.772248080873396e-06,0.0007372270920313895
2024-01-12T12:00:00Z,-7.609444,112.595556,0.00010970322909997776,-1.3647034393216018e-05,0.0006985553191043437
2024-01-12T15:00:00Z,-7.609444,112.595556,0.00011128823825856672,6.552712147822604e-05,0.0007616732036694884
2024-01-12T18:00:00Z,-7.609444,112.595556,3.730565003934316e-05,0.00022164892288856208,0.0007695360691286623
2024-01-12T21:00:00Z,-7.609444,112.595556,-4.392133632791229e-06,0.0002734011504799128,0.0007726515759713948
2024-01-13T00:00:00Z,-7.609444,112.595556,-1.5881303170317551e-06,0.0002929342444986105,0.0007990840240381658
2024-01-13T03:00:00Z,-7.609444,112.595556,9.30151727516204e-05,0.00030324148247018456,0.0008290356490761042
2024-01-13T06:00:00Z,-7.609444,112.595556,0.0001257193653145805,0.0003304989368189126,0.0008438251097686589
2024-01-13T09:00:00Z,-7.609444,112.595556,0.0001467190304538235,0.0003374941006768495,0.0007550879963673651
2024-01-13T12:00:00Z,-7.609444,112.595556,0.0001157081060227938,0.0003309314197394997,0.0006229180144146085
2024-01-13T15:00:00Z,-7.609444,112.595556,0.00013012335693929344,0.0003657874767668545,0.000599809514824301
2024-01-13T18:00:00Z,-7.609444,112.595556,7.391563849523664e-05,0.0004044802626594901,0.0005470301257446408
2024-01-13T21:00:00Z,-7.609444,112.595556,3.736142753041349e-05,0.00042610985110513866,0.0004434951406437904
2024-01-14T00:00:00Z,-7.609444,112.595556,-3.6003424611408263e-05,0.0005333435838110745,0.000345079752150923
2024-01-14T03:00:00Z,-7.609444,112.595556,4.17303635913413e-05,0.0006690375157631934,0.0004847353557124734
