time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],duEW[unit=""],duNS[unit=""],duV[unit=""]
2024-01-01T00:00:00Z,-7.609444,112.595556,0.0020236370619386,-0.0022958377376198,0.00015373459609691054
2024-01-01T03:00:00Z,-7.609444,112.595556,0.0024101689923554,-0.0020714125130325,-0.0002531311474740505
2024-01-01T06:00:00Z,-7.609444,112.595556,0.0026699306908994,-0.0017831420991569,-0.0003879399446304888
2024-01-01T09:00:00Z,-7.609444,112.595556,0.0026885457336902,-0.0015612900024279,-0.0004660285194404423
2024-01-01T12:00:00Z,-7.609444,112.595556,0.0026461381930857,-0.0015463838353753,-0.0004900266067124903
2024-01-01T15:00:00Z,-7.609444,112.595556,0.0026381891220808,-0.0017247390933334,-0.0001257394760614261
2024-01-01T18:00:00Z,-7.609444,112.595556,0.0026227876078337,-0.0019215627107769,0.0004843249917030335
2024-01-01T21:00:00Z,-7.609444,112.595556,0.0025461434852331,-0.0020332059357315,0.001087276963517
2024-01-02T00:00:00Z,-7.609444,112.595556,0.0026083590928465,-0.0019507472170516,0.0014766458189114
2024-01-02T03:00:00Z,-7.609444,112.595556,0.0025418538134545,-0.0017513332422822,0.0016535100294277
2024-01-02T06:00:00Z,-7.609444,112.595556,0.0024829923640936,-0.0016800527228042,0.0017825920367613
2024-01-02T09:00:00Z,-7.609444,112.595556,0.002354031894356,-0.0016417453298345,0.0019435548456385
2024-01-02T12:00:00Z,-7.609444,112.595556,0.0022126042749732,-0.001657209941186,0.0019465340301394
2024-01-02T15:00:00Z,-7.609444,112.595556,0.0021106814965605,-0.0015755357453599,0.0019963192753493
2024-01-02T18:00:00Z,-7.609444,112.595556,0.0019675914663821,-0.001440018764697,0.0022295718081295
2024-01-02T21:00:00Z,-7.609444,112.595556,0.0017533362843096,-0.0014440997038036,0.0024238026235252
2024-01-03T00:00:00Z,-7.609444,112.595556,0.0015963055193424,-0.0015426941681653,0.0025079988408833
2024-01-03T03:00:00Z,-7.609444,112.595556,0.0013913097791373,-0.0017134184017777,0.0025747907347977
2024-01-03T06:00:00Z,-7.609444,112.595556,0.0013039329787716,-0.0018818732351064,0.0025234157219529
2024-01-03T09:00:00Z,-7.609444,112.595556,0.0013571038143709,-0.0019893075805157,0.002489183563739
2024-01-03T12:00:00Z,-7.609444,112.595556,0.0015688025159761,-0.0020554750226438,0.0026111465413123
2024-01-03T15:00:00Z,-7.609444,112.595556,0.0016922354698181,-0.0020512498449534,0.0028736980166286
2024-01-03T18:00:00Z,-7.609444,112.595556,0.0017757077002897,-0.0020529006142169,0.0028680814430117
2024-01-03T21:00:00Z,-7.609444,112.595556,0.0017734548309817,-0.0023336063604801,0.0023168770130723
2024-01-04T00:00:00Z,-7.609444,112.595556,0.0017441833624616,-0.0026111067272722,0.0016799372388049
2024-01-04T03:00:00Z,-7.609444,112.595556,0.0016443718923255,-0.0027324843686074,0.0012363396817818
2024-01-04T06:00:00Z,-7.609444,112.595556,0.001554079237394,-0.0028214622288942,0.0004348792717792094
2024-01-04T09:00:00Z,-7.609444,112.595556,0.0014939322136342,-0.0027564987540245,-0.0004774771223310381
2024-01-04T12:00:00Z,-7.609444,112.595556,0.0014552731299772,-0.0026740704197436,-0.0009112835978157818
2024-01-04T15:00:00Z,-7.609444,112.595556,0.0014162040315568,-0.0026473416946828,-0.000983423669822514
